Rating,Name,Symbol,Rating Agency Name,Date,Sector,currentRatio,quickRatio,cashRatio,daysOfSalesOutstanding,netProfitMargin,pretaxProfitMargin,grossProfitMargin,operatingProfitMargin,returnOnAssets,returnOnCapitalEmployed,returnOnEquity,assetTurnover,fixedAssetTurnover,debtEquityRatio,debtRatio,effectiveTaxRate,freeCashFlowOperatingCashFlowRatio,freeCashFlowPerShare,cashPerShare,companyEquityMultiplier,ebitPerRevenue,enterpriseValueMultiple,operatingCashFlowPerShare,operatingCashFlowSalesRatio,payablesTurnover
BBB,Ecolab Inc.,ECL,Egan-Jones Ratings Company,11/4/2014,Basic Industries,1.110450007,0.688346327,0.047781881,67.13668989,0.084226743,0.11893141,0.462266727,0.136899968,0.061787565,0.112625248,0.164409027,0.733586073,4.681210254,1.660875627,0.624183863,0.280381536,0.587629434,3.555148284,1.308897034,2.660875627,0.11893141,13.26536151,6.049983339,0.127138406,6.606245699
BB,SM Energy Company,SM,Standard & Poor's Ratings Services,6/18/2013,Energy,0.628873632,0.551391756,0.010942745,61.79237354,-0.036043404,-0.055489263,1.0,-0.013299431,-0.012917877,-0.022831435,-0.03835299,0.358397811,0.409306872,1.968985469,0.66318461,0.350443622,1.0,14.15408824,0.672403206,2.968985469,-0.055489263,6.113817967,14.15408824,0.612562471,0.0
A,"Estee Lauder Companies, Inc. (The)",EL,Moody's Investors Service,8/1/2012,Consumer Non-Durables,1.814117647,1.132705882,0.633882353,39.83321322,0.088644085,0.129826006,0.794502214,0.134973747,0.130593053,0.282229185,0.315038419,1.473229182,7.890333063,2.412367362,1.0,0.317208565,1.0,2.902061856,3.471649485,2.412367362,0.129826006,12.83190535,2.902061856,0.115927108,4.046653144
BB,Signet Jewelers Limited,SIG,Fitch Ratings,8/25/2016,Consumer Services,3.981177899,1.66614624,0.119437939,97.87273671,0.071432933,0.100424415,0.372568777,0.107431834,0.072269245,0.123611764,0.152873526,1.011707649,9.002473887,1.115333094,0.527261213,0.288689571,0.489059328,2.727044025,2.06918239,2.115333094,0.100424415,10.82881598,5.576100629,0.067677323,15.27238945
BB,"Kinder Morgan, Inc.",KMI,Standard & Poor's Ratings Services,8/11/2014,Public Utilities,0.58975165,0.39154354,0.049512732,36.91390361,0.06323185,0.190496734,0.613090102,0.274127943,0.012332027,0.040228539,0.030109168,0.195028727,0.420755108,1.441542435,0.590422847,0.209640893,0.190284307,0.747581354,0.747581354,2.441542435,0.190496734,13.67240931,3.928759894,0.275298903,3.953400504
BBB,"Oceaneering International, Inc.",OII,Standard & Poor's Ratings Services,10/14/2016,Energy,2.48364361,1.962062617,0.885572149,78.69261706,0.010823194,0.009810253,0.122920686,0.03115157,0.007854162,0.008499396,0.016210802,0.725678726,1.969726635,1.063976163,0.515498281,0.841821853,0.66994203,2.327026062,5.178691284,2.063976163,0.009810253,9.420618764,3.473473759,0.149903834,25.6772647
BBB,Corning Incorporated,GLW,Moody's Investors Service,10/28/2015,Basic Industries,2.938521677,2.122245913,1.599147122,54.96432883,0.146965207,0.046756668,0.400943914,0.14509933,0.046905104,0.016554619,0.071268895,0.31915788,0.720351044,0.519427294,0.341857288,0.345070423,0.622997508,1.435602953,3.773584906,1.519427294,0.046756668,9.045327215,2.304347826,0.308308638,5.843683084
BB,EQT Corporation,EQT,Egan-Jones Ratings Company,12/22/2015,Energy,2.828556493,2.234413855,2.012055505,38.21038418,0.050386308,0.252349204,0.926625098,0.333147377,0.006094015,0.032363397,0.016773239,0.12094585,0.147346313,1.752411826,0.636682276,0.245392804,1.0,7.985275397,10.50690954,2.752411826,0.252349204,4.567717974,7.985275397,0.719929482,0.425415881
BBB,Embraer S.A.,ERJ,Standard & Poor's Ratings Services,4/19/2016,Capital Goods,2.081417998,1.291877678,0.702993118,73.35588131,0.011673217,0.054756161,0.187463099,0.055970716,0.005929988,0.040458255,0.018493773,0.507999486,2.923991319,2.091453311,0.670619992,0.786814541,0.168115942,0.197286841,3.793485795,3.118686194,0.058619119,36.53363675,1.173516552,0.145493497,3.527240773
CCC,"Berry Global Group, Inc.",BERY,Moody's Investors Service,5/5/2014,Consumer Non-Durables,1.954678363,0.864035088,0.207602339,35.26683882,0.012265978,0.018291371,0.174736389,0.083064343,0.011100292,0.019096832,-0.290816327,0.90496592,3.670616114,-27.19897959,1.038169426,0.329411765,0.484913793,1.982623407,1.251255661,-26.19897959,0.018291371,8.357619972,4.088610049,0.099849365,11.37982196
